"Structure of used land by province (As of 31 December 2015) by Cities, provincies and Land use"

"Cities, provincies";"Total area";"Agricultural production land";"Forestry land";"Specially used land";"Homestead land"
"Red River Delta";100.0;37.6;23.3;14.8;6.8
"Ha Noi";100.0;46.8;6.6;18.7;11.9
"Vinh Phuc";100.0;45.2;26.2;13.8;6.2
"Bac Ninh";100.0;53.2;0.7;20.5;12.4
"Quang Ninh";100.0;10.0;60.4;7.0;1.3
"Hai Duong";100.0;51.8;5.6;18.6;10.0
"Hai Phong";100.0;32.7;12.4;17.6;9.2
"Hung Yen";100.0;58.2;..;18.5;10.3
"Thai Binh";100.0;59.0;0.6;18.5;8.4
"Ha Nam";100.0;49.4;6.1;21.6;7.1
"Nam Dinh";100.0;54.8;1.7;18.0;6.7
"Ninh Binh";100.0;44.4;20.5;14.4;4.8
"Northern midlands and mountain areas";100.0;22.2;56.9;3.4;1.2
"Ha Giang";100.0;25.0;55.1;2.1;0.9
"Cao Bang";100.0;16.3;75.9;2.5;0.8
"Bac Kan";100.0;9.1;85.1;2.3;0.5
"Tuyen Quang";100.0;16.2;75.3;3.9;1.0
"Lao Cai";100.0;21.3;54.8;2.9;0.8
"Yen Bai";100.0;17.3;67.8;2.4;0.8
"Thai Nguyen";100.0;32.0;52.7;6.2;3.4
"Lang Son";100.0;13.4;69.1;3.4;1.0
"Bac Giang";100.0;38.0;37.5;12.1;4.7
"Phu Tho";100.0;33.5;48.3;7.2;3.0
"Dien Bien";100.0;38.9;37.1;1.0;0.5
"Lai Chau";100.0;12.0;45.5;1.6;0.3
"Son La";100.0;25.2;46.9;2.9;0.6
"Hoa Binh";100.0;19.3;64.6;6.7;3.0
"North Central area and Central coastal area";100.0;23.1;60.0;5.7;1.9
"Thanh Hoa";100.0;22.5;58.3;6.5;4.9
"Nghe An";100.0;18.4;69.7;4.5;1.4
"Ha Tinh";100.0;25.4;53.7;7.0;2.0
"Quang Binh";100.0;11.3;78.5;3.7;0.8
"Quang Tri";100.0;26.0;55.7;3.8;0.9
"Thua Thien Hue";100.0;14.1;66.1;6.7;1.9
"Da Nang";100.0;5.3;49.0;33.6;5.7
"Quang Nam";100.0;20.8;63.1;4.1;1.9
"Quang Ngai";100.0;29.4;58.1;4.4;2.2
"Bình Dinh";100.0;22.9;60.9;5.7;1.5
"Phu Yen";100.0;31.1;50.6;5.9;1.1
"Khanh Hoa";100.0;19.6;44.2;6.8;1.2
"Ninh Thuan";100.0;24.9;56.4;5.8;1.5
"Binh Thuan";100.0;45.5;43.3;6.2;1.1
"Central Highlands";100.0;44.4;45.8;3.5;1.1
"Kon Tum";100.0;27.3;63.2;3.3;0.8
"Gia Lai";100.0;51.7;37.9;3.4;1.2
"Dak Lak";100.0;48.1;39.9;4.1;1.1
"Dak Nong";100.0;55.3;36.1;4.1;0.8
"Lam Dong";100.0;37.6;55.2;2.9;1.3
"South East";100.0;58.0;21.3;9.4;3.2
"Binh Phuoc";100.0;64.9;25.1;6.8;0.9
"Tay Ninh";100.0;67.1;17.8;5.8;2.2
"Binh Duong";100.0;72.4;3.9;13.4;3.5
"Dong Nai";100.0;47.5;30.7;8.2;3.0
"Ba Ria - Vung Tau";100.0;53.3;17.1;16.6;3.5
"TP.Ho Chi Minh";100.0;32.4;15.9;16.5;13.3
"Mekong River Delta";100.0;64.3;6.1;6.0;3.1
"Long An";100.0;70.9;6.5;8.5;5.8
"Tien Giang";100.0;71.6;1.3;5.5;3.9
"Ben Tre";100.0;58.7;2.9;4.5;3.4
"Tra Vinh";100.0;62.7;3.3;5.8;2.0
"Vinh Long";100.0;78.6;..;6.6;3.9
"Dong Thap";100.0;77.0;3.3;7.6;4.3
"An Giang";100.0;80.0;3.3;6.8;3.8
"Kien Giang";100.0;72.9;11.2;4.7;2.2
"Can Tho";100.0;78.0;..;8.1;5.8
"Hau Giang";100.0;83.9;2.7;6.9;2.7
"Soc Trang";100.0;64.4;3.0;6.2;1.7
"Bac Lieu";100.0;38.1;1.4;4.0;1.9
"Ca Mau";100.0;28.1;17.2;4.6;1.2
"Nec.";100.0;3.9;83.8;0.5;..
